HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,AvgH,AvgD,AvgA
Westerlo,Oud-Heverlee Leuven,1.0,1.0,D,1.0,1.0,15.0,13.0,3.0,6.0,12.0,14.0,7.0,6.0,3.0,2.0,0.0,0.0,2.05,3.51,3.51,2.02,3.62,3.46
Gent,Westerlo,4.0,1.0,H,3.0,1.0,15.0,15.0,8.0,8.0,14.0,14.0,7.0,5.0,2.0,1.0,0.0,0.0,1.91,4.06,3.46,1.89,4.01,3.55
Kortrijk,Standard,1.0,0.0,H,0.0,0.0,21.0,6.0,8.0,0.0,9.0,13.0,13.0,0.0,1.0,1.0,0.0,1.0,2.73,3.25,2.63,2.71,3.25,2.6
Oud-Heverlee Leuven,Cercle Brugge,1.0,1.0,D,1.0,1.0,12.0,11.0,6.0,5.0,11.0,13.0,6.0,4.0,3.0,2.0,1.0,0.0,2.81,3.35,2.5,2.81,3.36,2.46
Club Brugge,Antwerp,1.0,0.0,H,0.0,0.0,14.0,13.0,5.0,3.0,14.0,13.0,7.0,8.0,1.0,4.0,0.0,1.0,1.79,4.03,3.98,1.77,3.97,4.14
Mechelen,Anderlecht,1.0,3.0,A,1.0,2.0,22.0,12.0,9.0,8.0,12.0,12.0,9.0,8.0,1.0,2.0,0.0,0.0,3.28,3.61,2.11,3.28,3.61,2.1
St Truiden,Dender,3.0,3.0,D,2.0,1.0,12.0,14.0,4.0,7.0,10.0,6.0,3.0,7.0,1.0,1.0,0.0,0.0,2.47,3.58,2.7,2.49,3.47,2.69
Beerschot VA,Genk,3.0,4.0,A,1.0,3.0,15.0,11.0,7.0,6.0,7.0,12.0,6.0,3.0,3.0,1.0,0.0,1.0,4.7,4.14,1.65,4.69,4.09,1.66
St. Gilloise,Charleroi,1.0,0.0,H,0.0,0.0,18.0,6.0,4.0,1.0,14.0,19.0,5.0,4.0,1.0,4.0,0.0,0.0,1.81,3.84,4.4,1.79,3.79,4.26
Cercle Brugge,Beerschot VA,4.0,1.0,H,3.0,1.0,22.0,4.0,8.0,3.0,8.0,12.0,8.0,1.0,2.0,2.0,0.0,0.0,1.53,4.41,5.44,1.53,4.38,5.58
Charleroi,Gent,1.0,0.0,H,0.0,0.0,17.0,7.0,5.0,0.0,14.0,6.0,4.0,3.0,3.0,1.0,0.0,0.0,2.86,3.67,2.31,2.86,3.64,2.29
Antwerp,St Truiden,6.0,1.0,H,2.0,0.0,11.0,15.0,8.0,7.0,4.0,8.0,5.0,2.0,1.0,0.0,0.0,0.0,1.37,4.89,7.68,1.38,4.84,7.47
Genk,Club Brugge,3.0,2.0,H,0.0,1.0,14.0,17.0,7.0,7.0,10.0,4.0,5.0,4.0,2.0,2.0,0.0,0.0,3.48,3.61,2.03,3.4,3.63,2.04
Anderlecht,Oud-Heverlee Leuven,1.0,1.0,D,1.0,1.0,19.0,10.0,2.0,4.0,10.0,14.0,9.0,4.0,3.0,2.0,0.0,0.0,1.85,3.58,4.18,1.92,3.55,3.94
Westerlo,St. Gilloise,4.0,3.0,H,3.0,1.0,24.0,14.0,9.0,7.0,11.0,15.0,5.0,6.0,5.0,3.0,0.0,0.0,3.65,3.68,1.95,3.6,3.72,1.95
Dender,Kortrijk,4.0,1.0,H,2.0,1.0,12.0,9.0,6.0,2.0,10.0,8.0,3.0,9.0,0.0,4.0,0.0,1.0,2.19,3.49,3.21,2.17,3.48,3.21
Standard,Mechelen,0.0,0.0,D,0.0,0.0,17.0,9.0,4.0,2.0,7.0,9.0,6.0,3.0,1.0,1.0,0.0,0.0,2.54,3.39,2.86,2.47,3.41,2.8
Gent,Dender,1.0,2.0,A,0.0,1.0,15.0,17.0,3.0,5.0,8.0,13.0,6.0,3.0,0.0,3.0,0.0,0.0,1.34,5.37,7.78,1.33,5.2,8.31
Standard,Club Brugge,1.0,0.0,H,0.0,0.0,10.0,16.0,2.0,6.0,10.0,8.0,3.0,10.0,0.0,2.0,0.0,0.0,5.51,4.45,1.52,5.43,4.39,1.53
Cercle Brugge,Kortrijk,1.0,2.0,A,1.0,1.0,23.0,11.0,6.0,6.0,7.0,13.0,14.0,7.0,2.0,3.0,0.0,0.0,1.63,4.13,4.89,1.62,4.14,4.9
Antwerp,Anderlecht,1.0,2.0,A,1.0,1.0,17.0,10.0,7.0,4.0,17.0,11.0,7.0,2.0,2.0,0.0,0.0,0.0,2.78,3.44,2.47,2.73,3.45,2.46
St Truiden,Charleroi,1.0,4.0,A,0.0,4.0,3.0,15.0,2.0,7.0,6.0,7.0,3.0,3.0,1.0,1.0,0.0,0.0,2.52,3.38,2.76,2.46,3.38,2.77
Oud-Heverlee Leuven,Genk,3.0,1.0,H,2.0,0.0,11.0,18.0,5.0,7.0,12.0,16.0,2.0,10.0,2.0,2.0,0.0,0.0,3.4,3.54,2.09,3.32,3.57,2.1
Mechelen,Westerlo,2.0,4.0,A,0.0,2.0,12.0,14.0,4.0,9.0,14.0,13.0,8.0,4.0,4.0,3.0,0.0,0.0,1.89,3.93,3.65,1.9,3.92,3.57
St. Gilloise,Beerschot VA,3.0,1.0,H,2.0,0.0,10.0,6.0,4.0,2.0,12.0,10.0,4.0,6.0,2.0,2.0,0.0,0.0,1.37,5.31,7.98,1.35,5.14,7.89
Westerlo,Cercle Brugge,3.0,0.0,H,1.0,0.0,10.0,12.0,6.0,4.0,9.0,12.0,6.0,7.0,0.0,1.0,0.0,0.0,2.9,3.62,2.3,2.89,3.61,2.27
Charleroi,Antwerp,0.0,1.0,A,0.0,1.0,12.0,12.0,5.0,4.0,15.0,7.0,5.0,6.0,5.0,2.0,0.0,0.0,3.13,3.47,2.23,3.11,3.53,2.19
Kortrijk,Gent,0.0,1.0,A,0.0,0.0,15.0,8.0,5.0,2.0,10.0,7.0,8.0,4.0,2.0,2.0,0.0,0.0,4.9,4.18,1.62,4.91,4.19,1.61
Genk,Standard,0.0,0.0,D,0.0,0.0,21.0,4.0,3.0,1.0,12.0,14.0,10.0,1.0,0.0,4.0,0.0,0.0,1.44,4.62,6.5,1.46,4.5,6.32
Anderlecht,St Truiden,1.0,0.0,H,0.0,0.0,11.0,2.0,3.0,0.0,8.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,1.51,4.36,5.91,1.51,4.32,5.85
Beerschot VA,Oud-Heverlee Leuven,0.0,0.0,D,0.0,0.0,1.0,9.0,0.0,2.0,15.0,15.0,2.0,6.0,2.0,1.0,0.0,0.0,2.79,3.37,2.5,2.77,3.36,2.48
Dender,St. Gilloise,0.0,0.0,D,0.0,0.0,3.0,10.0,0.0,3.0,12.0,7.0,4.0,6.0,4.0,2.0,0.0,0.0,6.58,4.91,1.41,6.62,4.82,1.42
Club Brugge,Mechelen,1.0,1.0,D,0.0,0.0,28.0,5.0,7.0,2.0,14.0,8.0,7.0,2.0,1.0,2.0,0.0,0.0,1.39,5.06,7.82,1.38,4.89,7.7
Genk,Gent,0.0,1.0,A,0.0,0.0,10.0,13.0,4.0,5.0,20.0,12.0,4.0,2.0,5.0,2.0,0.0,0.0,2.37,3.54,2.89,2.32,3.54,2.81
Antwerp,Anderlecht,3.0,1.0,H,0.0,1.0,21.0,15.0,5.0,5.0,8.0,9.0,4.0,2.0,3.0,0.0,0.0,0.0,3.94,4.0,1.82,3.88,3.81,1.82
Club Brugge,Cercle Brugge,0.0,0.0,D,0.0,0.0,10.0,7.0,3.0,1.0,9.0,11.0,5.0,2.0,1.0,0.0,0.0,0.0,1.51,4.56,5.74,1.51,4.48,5.5
St. Gilloise,Genk,2.0,0.0,H,1.0,0.0,21.0,9.0,8.0,2.0,18.0,10.0,10.0,4.0,3.0,1.0,0.0,1.0,1.67,4.15,4.66,1.68,4.0,4.5
Gent,St Truiden,2.0,0.0,H,0.0,0.0,7.0,15.0,4.0,2.0,9.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,1.52,4.74,5.3,1.51,4.63,5.26
Mechelen,Standard,3.0,2.0,H,2.0,0.0,20.0,7.0,9.0,4.0,8.0,6.0,9.0,4.0,2.0,0.0,0.0,0.0,1.88,3.89,3.79,1.86,3.81,3.71
Oud-Heverlee Leuven,Westerlo,1.0,2.0,A,0.0,2.0,10.0,21.0,3.0,7.0,11.0,11.0,1.0,6.0,4.0,5.0,2.0,0.0,2.07,3.74,3.32,2.04,3.74,3.22
Genk,Antwerp,1.0,0.0,H,1.0,0.0,9.0,16.0,3.0,6.0,10.0,13.0,2.0,8.0,3.0,1.0,0.0,0.0,1.83,3.79,4.1,1.83,3.79,3.91
Anderlecht,Club Brugge,0.0,1.0,A,0.0,1.0,13.0,14.0,4.0,2.0,10.0,10.0,4.0,4.0,1.0,3.0,0.0,0.0,2.91,3.48,2.38,2.93,3.49,2.28
Cercle Brugge,St. Gilloise,1.0,2.0,A,1.0,1.0,9.0,14.0,3.0,5.0,17.0,18.0,5.0,5.0,3.0,3.0,0.0,0.0,3.49,3.7,2.07,3.3,3.6,2.07
Standard,Gent,1.0,4.0,A,1.0,1.0,9.0,18.0,2.0,6.0,11.0,6.0,5.0,11.0,1.0,0.0,0.0,0.0,3.78,4.1,1.88,3.64,3.96,1.86
Westerlo,Mechelen,0.0,2.0,A,0.0,1.0,10.0,17.0,2.0,7.0,8.0,10.0,10.0,5.0,0.0,1.0,0.0,0.0,2.65,3.83,2.5,2.59,3.7,2.45
St Truiden,Oud-Heverlee Leuven,1.0,1.0,D,0.0,0.0,9.0,9.0,3.0,3.0,10.0,12.0,2.0,1.0,2.0,0.0,0.0,0.0,2.17,3.77,3.19,2.13,3.68,3.09
Club Brugge,St. Gilloise,2.0,2.0,D,0.0,0.0,24.0,17.0,4.0,6.0,7.0,14.0,8.0,3.0,1.0,2.0,0.0,0.0,2.11,3.59,3.36,2.11,3.49,3.24
Antwerp,Cercle Brugge,1.0,2.0,A,0.0,2.0,16.0,13.0,4.0,5.0,9.0,13.0,6.0,2.0,1.0,2.0,0.0,0.0,2.27,3.58,3.02,2.24,3.52,2.97
St Truiden,Mechelen,2.0,1.0,H,2.0,1.0,11.0,7.0,5.0,3.0,9.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,2.34,3.69,2.84,2.32,3.62,2.78
Gent,Oud-Heverlee Leuven,0.0,1.0,A,0.0,1.0,12.0,8.0,2.0,4.0,10.0,12.0,10.0,1.0,2.0,3.0,0.0,0.0,1.4,5.38,6.88,1.39,5.13,6.61
Anderlecht,Genk,2.0,1.0,H,1.0,0.0,17.0,19.0,4.0,3.0,5.0,14.0,4.0,3.0,1.0,2.0,0.0,0.0,2.06,3.6,3.61,2.02,3.56,3.45
Charleroi,Kortrijk,3.0,1.0,H,2.0,0.0,12.0,9.0,8.0,4.0,11.0,8.0,5.0,5.0,0.0,1.0,0.0,0.0,2.29,3.72,3.0,2.23,3.53,3.01
Eupen,RWD Molenbeek,2.0,0.0,H,0.0,0.0,12.0,18.0,4.0,7.0,11.0,13.0,2.0,7.0,0.0,1.0,0.0,0.0,3.62,3.71,2.02,3.46,3.68,1.98
Kortrijk,Eupen,1.0,0.0,H,1.0,0.0,18.0,10.0,4.0,2.0,15.0,12.0,7.0,3.0,4.0,3.0,0.0,1.0,2.02,3.54,3.64,2.02,3.5,3.47
St. Gilloise,Anderlecht,0.0,0.0,D,0.0,0.0,19.0,12.0,8.0,9.0,12.0,8.0,8.0,3.0,4.0,1.0,0.0,0.0,1.7,3.96,4.66,1.71,3.84,4.47
Oud-Heverlee Leuven,Standard,3.0,1.0,H,0.0,1.0,16.0,8.0,7.0,1.0,10.0,14.0,4.0,1.0,1.0,1.0,0.0,0.0,2.45,3.39,2.89,2.36,3.44,2.82
Antwerp,Club Brugge,1.0,2.0,A,0.0,0.0,10.0,10.0,5.0,4.0,10.0,11.0,2.0,3.0,3.0,1.0,0.0,0.0,3.81,3.64,1.94,3.72,3.61,1.91
Cercle Brugge,Genk,4.0,1.0,H,3.0,1.0,16.0,13.0,6.0,6.0,16.0,16.0,4.0,1.0,1.0,3.0,0.0,0.0,2.55,3.51,2.76,2.5,3.51,2.64
Mechelen,Gent,2.0,4.0,A,2.0,3.0,15.0,13.0,8.0,5.0,11.0,10.0,6.0,2.0,2.0,0.0,0.0,0.0,3.38,3.84,2.07,3.26,3.72,2.04
RWD Molenbeek,Charleroi,1.0,3.0,A,0.0,3.0,14.0,12.0,6.0,5.0,8.0,9.0,4.0,5.0,0.0,1.0,0.0,0.0,2.59,3.42,2.78,2.5,3.37,2.71
Westerlo,St Truiden,2.0,2.0,D,1.0,1.0,19.0,8.0,6.0,4.0,4.0,11.0,6.0,4.0,2.0,2.0,0.0,0.0,2.39,3.8,2.79,2.36,3.71,2.7
RWD Molenbeek,Kortrijk,0.0,1.0,A,0.0,1.0,15.0,10.0,4.0,3.0,13.0,10.0,6.0,5.0,2.0,2.0,0.0,0.0,2.4,3.4,2.95,2.35,3.38,2.88
St. Gilloise,Antwerp,4.0,1.0,H,2.0,1.0,14.0,3.0,10.0,2.0,14.0,9.0,3.0,2.0,2.0,4.0,0.0,0.0,1.68,4.01,4.77,1.68,3.91,4.65
Cercle Brugge,Anderlecht,1.0,1.0,D,0.0,1.0,18.0,9.0,4.0,5.0,9.0,9.0,4.0,3.0,1.0,1.0,0.0,0.0,2.91,3.47,2.4,2.8,3.43,2.37
Genk,Club Brugge,0.0,3.0,A,0.0,1.0,14.0,11.0,3.0,4.0,8.0,10.0,6.0,3.0,1.0,2.0,0.0,0.0,2.95,3.53,2.34,2.89,3.54,2.27
Gent,Westerlo,3.0,2.0,H,2.0,2.0,15.0,23.0,6.0,7.0,9.0,12.0,3.0,10.0,2.0,3.0,0.0,0.0,1.35,5.72,7.81,1.34,5.36,7.38
Standard,St Truiden,1.0,1.0,D,0.0,1.0,19.0,11.0,6.0,6.0,6.0,10.0,5.0,4.0,0.0,2.0,0.0,0.0,2.25,3.49,3.25,2.2,3.41,3.15
Mechelen,Oud-Heverlee Leuven,3.0,0.0,H,0.0,0.0,17.0,17.0,7.0,4.0,10.0,12.0,4.0,3.0,1.0,1.0,0.0,0.0,1.98,3.83,3.64,1.96,3.67,3.53
Eupen,Charleroi,1.0,2.0,A,0.0,2.0,12.0,12.0,2.0,4.0,13.0,15.0,4.0,5.0,2.0,1.0,0.0,0.0,3.5,3.21,2.26,3.35,3.19,2.23
Antwerp,St. Gilloise,0.0,3.0,A,0.0,0.0,6.0,13.0,1.0,7.0,9.0,19.0,5.0,5.0,3.0,4.0,0.0,0.0,3.02,3.3,2.41,2.87,3.35,2.38
Anderlecht,Cercle Brugge,3.0,0.0,H,2.0,0.0,12.0,7.0,5.0,4.0,6.0,12.0,4.0,2.0,1.0,4.0,0.0,0.0,1.93,3.67,3.98,1.93,3.61,3.73
Club Brugge,Genk,4.0,0.0,H,1.0,0.0,15.0,12.0,7.0,4.0,12.0,16.0,0.0,4.0,0.0,1.0,0.0,0.0,1.79,3.9,4.41,1.79,3.85,4.12
St Truiden,Gent,0.0,2.0,A,0.0,1.0,17.0,15.0,5.0,5.0,12.0,8.0,5.0,4.0,2.0,1.0,0.0,0.0,3.86,3.81,1.93,3.69,3.83,1.89
Standard,Mechelen,0.0,0.0,D,0.0,0.0,21.0,6.0,6.0,1.0,9.0,6.0,8.0,4.0,0.0,2.0,0.0,0.0,2.48,3.44,2.89,2.43,3.42,2.79
Westerlo,Oud-Heverlee Leuven,1.0,1.0,D,1.0,0.0,15.0,20.0,3.0,7.0,7.0,14.0,9.0,4.0,2.0,3.0,0.0,0.0,2.53,3.55,2.77,2.45,3.54,2.71
Charleroi,Eupen,1.0,0.0,H,1.0,0.0,19.0,9.0,7.0,3.0,12.0,8.0,7.0,4.0,1.0,1.0,0.0,0.0,1.67,3.9,5.0,1.67,3.8,4.82
St. Gilloise,Club Brugge,1.0,2.0,A,0.0,0.0,18.0,9.0,6.0,2.0,14.0,11.0,10.0,8.0,3.0,3.0,0.0,1.0,2.31,3.39,3.1,2.28,3.41,2.98
Kortrijk,RWD Molenbeek,2.0,4.0,A,1.0,3.0,16.0,14.0,8.0,8.0,11.0,10.0,11.0,4.0,2.0,4.0,0.0,0.0,2.08,3.36,3.67,2.07,3.41,3.46
Cercle Brugge,Antwerp,0.0,1.0,A,0.0,0.0,16.0,12.0,4.0,8.0,12.0,5.0,7.0,2.0,4.0,1.0,0.0,0.0,2.66,3.42,2.71,2.59,3.39,2.61
Genk,Anderlecht,2.0,1.0,H,1.0,0.0,22.0,9.0,10.0,2.0,10.0,10.0,4.0,3.0,1.0,1.0,0.0,0.0,2.18,3.52,3.37,2.13,3.53,3.23
Gent,Mechelen,3.0,1.0,H,1.0,0.0,15.0,7.0,5.0,3.0,8.0,4.0,6.0,5.0,1.0,1.0,0.0,0.0,1.58,4.18,5.79,1.56,4.13,5.56
Westerlo,Standard,3.0,3.0,D,1.0,1.0,19.0,17.0,6.0,8.0,8.0,12.0,6.0,7.0,1.0,1.0,0.0,0.0,2.66,3.57,2.61,2.59,3.49,2.56
Oud-Heverlee Leuven,St Truiden,1.0,0.0,H,0.0,0.0,20.0,3.0,11.0,0.0,11.0,11.0,6.0,3.0,1.0,2.0,0.0,0.0,2.67,3.53,2.63,2.59,3.42,2.59
Oud-Heverlee Leuven,Gent,2.0,1.0,H,2.0,1.0,12.0,16.0,3.0,6.0,8.0,6.0,0.0,6.0,2.0,2.0,0.0,0.0,4.1,3.93,1.8,3.91,3.88,1.82
Anderlecht,St. Gilloise,2.0,1.0,H,1.0,0.0,7.0,15.0,5.0,5.0,10.0,16.0,6.0,6.0,4.0,3.0,1.0,0.0,2.75,3.28,2.62,2.69,3.37,2.54
Kortrijk,Charleroi,1.0,2.0,A,1.0,0.0,9.0,12.0,2.0,5.0,11.0,12.0,4.0,3.0,0.0,1.0,0.0,0.0,2.88,3.24,2.54,2.85,3.3,2.45
Club Brugge,Antwerp,3.0,0.0,H,1.0,0.0,13.0,8.0,6.0,3.0,10.0,14.0,5.0,3.0,2.0,2.0,0.0,0.0,1.78,3.93,4.47,1.77,3.81,4.25
Genk,Cercle Brugge,1.0,1.0,D,1.0,0.0,13.0,10.0,5.0,2.0,7.0,16.0,6.0,5.0,0.0,4.0,0.0,1.0,1.89,3.94,3.87,1.88,3.8,3.76
Mechelen,Westerlo,3.0,2.0,H,0.0,2.0,23.0,14.0,6.0,7.0,13.0,7.0,13.0,6.0,1.0,4.0,0.0,1.0,1.73,3.92,4.78,1.74,3.78,4.49
RWD Molenbeek,Eupen,3.0,1.0,H,1.0,1.0,11.0,8.0,5.0,3.0,16.0,13.0,7.0,4.0,1.0,3.0,0.0,0.0,2.41,3.31,3.11,2.34,3.35,2.99
St Truiden,Standard,3.0,3.0,D,1.0,1.0,16.0,17.0,8.0,10.0,10.0,11.0,4.0,3.0,4.0,4.0,0.0,0.0,2.19,3.57,3.3,2.17,3.46,3.21
Westerlo,Gent,0.0,3.0,A,0.0,2.0,3.0,21.0,3.0,7.0,16.0,13.0,1.0,8.0,5.0,2.0,2.0,0.0,3.77,3.83,1.9,3.77,3.73,1.89
Club Brugge,Anderlecht,3.0,1.0,H,1.0,0.0,20.0,13.0,8.0,7.0,8.0,12.0,3.0,2.0,1.0,5.0,0.0,0.0,1.88,3.74,3.92,1.9,3.66,3.85
Eupen,Kortrijk,1.0,1.0,D,0.0,0.0,7.0,12.0,2.0,4.0,9.0,10.0,2.0,4.0,1.0,2.0,0.0,0.0,2.41,3.28,3.04,2.34,3.34,2.97
St. Gilloise,Cercle Brugge,2.0,3.0,A,1.0,2.0,14.0,8.0,9.0,4.0,10.0,20.0,4.0,3.0,2.0,5.0,0.0,0.0,1.73,3.99,4.7,1.73,3.84,4.51
Antwerp,Genk,0.0,1.0,A,0.0,1.0,11.0,18.0,2.0,6.0,14.0,12.0,6.0,5.0,3.0,1.0,0.0,0.0,2.28,3.5,3.18,2.24,3.46,3.06
Standard,Oud-Heverlee Leuven,0.0,0.0,D,0.0,0.0,13.0,8.0,6.0,2.0,12.0,13.0,6.0,2.0,2.0,2.0,0.0,0.0,1.7,4.03,4.86,1.7,3.87,4.7
Charleroi,RWD Molenbeek,0.0,0.0,D,0.0,0.0,14.0,10.0,3.0,3.0,14.0,12.0,11.0,6.0,1.0,4.0,0.0,0.0,1.72,3.82,4.99,1.69,3.84,4.79
Mechelen,St Truiden,2.0,3.0,A,1.0,0.0,17.0,16.0,6.0,7.0,9.0,13.0,5.0,4.0,2.0,2.0,0.0,0.0,2.12,3.43,3.63,2.08,3.45,3.47
Genk,St. Gilloise,1.0,0.0,H,1.0,0.0,7.0,12.0,3.0,4.0,11.0,18.0,2.0,9.0,1.0,1.0,0.0,1.0,2.81,3.56,2.42,2.76,3.52,2.4
Cercle Brugge,Club Brugge,1.0,1.0,D,1.0,0.0,10.0,28.0,4.0,7.0,11.0,7.0,0.0,8.0,0.0,1.0,0.0,0.0,3.59,3.64,2.01,3.54,3.63,1.98
St Truiden,Westerlo,2.0,0.0,H,1.0,0.0,14.0,13.0,6.0,5.0,11.0,10.0,7.0,3.0,0.0,1.0,0.0,0.0,2.2,3.5,3.23,2.21,3.45,3.12
Anderlecht,Antwerp,1.0,0.0,H,0.0,0.0,20.0,8.0,8.0,2.0,8.0,7.0,4.0,3.0,2.0,4.0,0.0,1.0,2.35,3.42,3.11,2.31,3.44,2.96
Oud-Heverlee Leuven,Mechelen,2.0,3.0,A,0.0,1.0,18.0,11.0,5.0,8.0,8.0,16.0,7.0,7.0,1.0,5.0,0.0,1.0,2.81,3.34,2.61,2.71,3.37,2.54
Gent,Standard,5.0,1.0,H,1.0,1.0,15.0,11.0,8.0,4.0,12.0,5.0,4.0,2.0,2.0,1.0,0.0,0.0,1.65,4.15,5.06,1.65,4.03,4.85
Cercle Brugge,RWD Molenbeek,4.0,0.0,H,2.0,0.0,20.0,4.0,8.0,1.0,6.0,11.0,11.0,4.0,1.0,4.0,0.0,1.0,1.36,5.3,7.85,1.35,5.16,7.73
Gent,Charleroi,5.0,0.0,H,2.0,0.0,13.0,12.0,9.0,5.0,8.0,10.0,1.0,6.0,0.0,2.0,0.0,0.0,1.57,4.23,5.7,1.56,4.11,5.55
Oud-Heverlee Leuven,Mechelen,1.0,0.0,H,0.0,0.0,14.0,16.0,4.0,5.0,14.0,9.0,3.0,6.0,4.0,1.0,0.0,0.0,2.78,3.42,2.55,2.75,3.35,2.49
Westerlo,Genk,1.0,1.0,D,0.0,0.0,12.0,9.0,4.0,2.0,10.0,13.0,5.0,6.0,4.0,1.0,0.0,1.0,3.87,3.35,2.05,3.67,3.52,1.98
Antwerp,St. Gilloise,1.0,1.0,D,0.0,0.0,9.0,13.0,3.0,4.0,12.0,12.0,4.0,3.0,3.0,5.0,0.0,1.0,2.66,3.53,2.6,2.64,3.44,2.54
St Truiden,Club Brugge,2.0,1.0,H,0.0,1.0,13.0,19.0,5.0,8.0,5.0,10.0,4.0,8.0,0.0,1.0,0.0,0.0,5.54,4.22,1.62,5.19,4.05,1.61
Anderlecht,Kortrijk,0.0,1.0,A,0.0,0.0,17.0,11.0,5.0,4.0,7.0,13.0,5.0,6.0,1.0,2.0,0.0,0.0,1.25,6.45,11.44,1.24,6.08,10.76
Standard,Eupen,4.0,0.0,H,2.0,0.0,13.0,9.0,5.0,5.0,2.0,17.0,5.0,5.0,0.0,0.0,0.0,0.0,1.72,3.84,5.14,1.71,3.78,4.73
Eupen,St Truiden,1.0,0.0,H,1.0,0.0,7.0,17.0,2.0,5.0,12.0,15.0,4.0,3.0,3.0,1.0,0.0,0.0,3.46,3.39,2.17,3.41,3.38,2.11
St. Gilloise,Gent,1.0,1.0,D,0.0,0.0,18.0,11.0,5.0,6.0,4.0,11.0,8.0,3.0,3.0,1.0,0.0,0.0,1.65,4.11,5.02,1.63,4.08,4.94
Club Brugge,Oud-Heverlee Leuven,3.0,1.0,H,1.0,1.0,20.0,7.0,8.0,2.0,13.0,10.0,10.0,5.0,0.0,2.0,0.0,0.0,1.29,6.0,9.06,1.3,5.63,8.6
Genk,Standard,1.0,0.0,H,0.0,0.0,19.0,6.0,5.0,4.0,6.0,11.0,7.0,5.0,0.0,2.0,0.0,0.0,1.63,4.23,5.44,1.61,4.07,5.18
RWD Molenbeek,Anderlecht,0.0,3.0,A,0.0,3.0,10.0,11.0,2.0,5.0,11.0,9.0,4.0,3.0,3.0,1.0,0.0,0.0,6.15,4.49,1.53,5.8,4.32,1.52
Charleroi,Cercle Brugge,0.0,0.0,D,0.0,0.0,6.0,11.0,2.0,2.0,15.0,17.0,2.0,8.0,1.0,1.0,0.0,1.0,3.74,3.63,2.04,3.57,3.56,2.0
Kortrijk,Antwerp,0.0,1.0,A,0.0,1.0,3.0,15.0,1.0,5.0,9.0,10.0,3.0,10.0,0.0,1.0,0.0,0.0,6.79,4.79,1.47,6.47,4.54,1.46
